doc,tag,annotation
1903 - The relation of science to common life.xml,deep-seated economic and social diseases,"We are su:ffer- ing not only from deep-seated eeonomie and soeial diseases, of whieh perhaps the most alarming symptom is the eoneentration of wealth into the hands of a few, but from the r.ule of the boss, and from the lament- able faet that the people at large are di- voreed from legislation. As a matter of fatt nothing stands between us and the tyranny of munieipal, state and federal bosses, as unserupulous as any feudal lord- lings in the thirteenth eentury, exeept pub- lie opinion, imperfeetly expressed by the press. """
1903 - The relation of science to common life.xml,editor,Holyoake has well said: ' Cooperation is eonzmereial peate7 eompetition is eommereial war.
1903 - The relation of science to common life.xml,science = nation-building,"The rait- roads that make possible seientifie eon- gresses, the steamships that link the seden- tists of eontinents in annual or triennial reunion, the telephones that almost ann;- hilate phonie spaee, the food eanning that makes life agreeable in every elile are a few of the many environmental produets of the past eentury, that link man to man by chains of amity and peaee, and that promote his international well-being."
1903 - The relation of science to common life.xml,'society as organism' ,"Applying this fundamental principle to our eommon human life, the highest human seientifie aspiration might be expressed in the aphorism ssoeiety an organism.'"
1903 - The relation of science to common life.xml,'society as organism' ,Soeiety has been struggling through millennia to beeome an organismn has been searehing for that energy and that souree of energy that will give it life equilibrium.
1903 - The relation of science to common life.xml,records,"to vivify and unify the * n w soelal orgamsm. Lllke thousands ot selen- tifie experiments before and sinee they par- tially failed, but their failures and sueeesses have been reeorded, so that sueeeeding es- perimenters might earry the inquiry to a sueeessful issue."
1903 - The relation of science to common life.xml,captialism,"The fetish of unbridled eommereial eompetition whieh has too long lorded over us, is in many ways inimieal to our highest interests"
1903 - The relation of science to common life.xml,religion x science,"The seienee of life, and the religion of life may dwell apart, but who knows whether, when our pro- found ignoranee has been dispelled, it may not appear that both are linked together, and are governed by similar gr.eat laws that we are asked by observation and es- periment to verify and to aeeept."
1903 - The relation of science to common life.xml,religion x science,"Illimitable fields of researeh still remain for us to enter; the masses of our fellows ar.e eager to learn what fruits we gather and bring baek. We ean only afford then to be optimists, and to e:x:elaim with Maekay: Blessings on Science! When the earth seemed old, When Faith grew doting, and our reason cold; 'Twas she discovered that the world was young, And taught a language to its lisping tongue."
1903 - The relation of science to common life.xml,Science as 'She',"Blessings on Science! When the earth seemed old, When Faith grew doting, and our reason cold; 'Twas she discovered that the world was young, And taught a language to its lisping tongue."
1903 - The relation of science to common life.xml,title,> DC:TITLE The Relation of Science to Common Life gate.SourceURL file:/Users/anastasiabernat/Desktop/group_corpus/1903%20-%20The%20relation%20of%20science%20to%20common%20life.pdf MimeType application/pdf TIKA_DC:TITLE The Relation of Science to Common Life The Relation of Science to Common Life
1903 - The relation of science to common life.xml,year,1903
1903 - The relation of science to common life.xml,publisher,American Association for the Advancement of Science
1903 - The relation of science to common life.xml,science society,Sigma Xi Soeiety
1903 - The relation of science to common life.xml,elite university,University of Penn- . . / sylvanla.
1903 - The relation of science to common life.xml,goal,"The high ideals of this society demand that I should attempt to leave my restricted field of study for a time, and that I should speak of those broader questions that agi- tate general scientific thought-that I should drop the role of the botanist, and assume that of the scientist and the man."
1903 - The relation of science to common life.xml,the public,"the life of the mass of in- dividuals, of the nation, if you will. A very unacademic subject, you will say,"
1903 - The relation of science to common life.xml,the public,"a subject would have been cur.tly dismissed with the remark, ' We have nothing to do with common life; we follow our own high educational aims. ' Too often the universities have stood aside in cold and unsympathetic isolation shall I not also say in helpless disfavor while the busy thinking world outside has carried forward the beacon lights of truth and progress."
1903 - The relation of science to common life.xml,reference,"Whewell when, as Master of Trinity College (Cambridge), he went up to London fifty years ago to deliver his notable address before the Royal Institution. Speaking on 'The Influence of the History of Science upon Intelleetual Edueation,'"
1903 - The relation of science to common life.xml,the ivory tower,"Happilyn our university presidents of to-day are more in touch with the throbbing vibrating life of humanity, even though they may not elaim the p}ofundity of thought that lived in the zllaster of ' Trinity. '"
1903 - The relation of science to common life.xml,race,"If there be one eharaeteristie more than another of our age and day, it is the steady welding and eooperative development pro- eeeding among the leading races of the world. Nowhere is this seen on so phe- nomenal a scale as in our country, where, with the Anglo-Celt, Jew and Greek Frank and German, Italian and Norsenzar together ply the arts of peace."
1903 - The relation of science to common life.xml,law and economy,"Back of this, however, is the basie fact that in this country scientifie progress has been comparatively wlhampered by costly patent laws, by hereditary vested rights, by lands being held in the hands of a few"
1903 - The relation of science to common life.xml,main school of thought,"there exists a keen and rapid method of inductive reasoning that carries forward the individual and the community on progressive and yet safe lines. It is this method, applied to all branehes of seienee with inereasing exaet- ness, as human freedoul inereasingly as- serted itself during the bygone centuryn whieh has eulminated in the marvelous sci- entifie position occupied by the country to-day."
1903 - The relation of science to common life.xml,science society,"Ollr Sigma Ni Society, as a university organization, stands for ' the nobility of science.'"
1903 - The relation of science to common life.xml,Catholic religion,With Laeroix we may regard the University of Paris as the first great efifort made by Abelard and his suecessors to dispel the shades of the dark ages.
1903 - The relation of science to common life.xml,university,University of Paris
1903 - The relation of science to common life.xml,European history of scholarship,"the past millennium. With Laeroix we may regard the University of Paris as the first great efifort made by Abelard and his suecessors to dispel the shades of the dark ages. Here in the four nations met scholars of every language, creed and degree of poverty or wealth. A thirst for learning was their common bond. Later the Universities of Bolognav Padua and Oxford widened and deepened the channel of democratic learnings that spread out and vivifed Europe."
1903 - The relation of science to common life.xml,theologian,Abelard
1903 - The relation of science to common life.xml,European history of scholarship,"the fearless champions of freedom of thought, and so of freedom of the individual, from the tenth to the fourteenth eentury, issued from the universities, and were often more powerful, and more feared by autocratic rulers, than armed hosts."
1903 - The relation of science to common life.xml,big scientist,"But the appearanee in sueccssion of Galileo, Franeis Baeon, Deseartes and New- ton, with many lesser lights clustered round, gave rise to that comparatively re- cent university renaissanee"
1903 - The relation of science to common life.xml,in- & de-ductive reasoning,"We owe it almost wholly to the close pursuit of accurate inductive, seien- tifie methods, which have yielded deduc-tions of profoundest value. By slow de- grees, through observation and experiment, fact has been cumulated on fact, till these have, in their combined perfection, per- mitted some great hypothesis to be ad- vanced, or some great law to be deduced, that has grouped all lesser laws in crystal- like symmetry."
1903 - The relation of science to common life.xml,renaissance & religion,renaissanee which is spread- ing to widest proportions in our own land and time. We owe it almost wholly
1903 - The relation of science to common life.xml,big scientist,"But only after the biologiGal induetions and deduetions of Lamarck, Speneer, Wal- lace and Darwin were we in position to apply seientifie methods to living things, to man himself."
1903 - The relation of science to common life.xml,the ivory tower,"The cry is still raised, though from a scattered remnant that is fst being left in the rear of educational progress, that utilitarianism is disastrous to university education and to highest scholarship. This remnant desires to retain the exclusive spirit and sectarian bigotry that characterized some universities, which had started well but unfortunately were 'captured' for a time by a priviledged and unrepresentative few, from the sixteenth to the nineteeth centruy."
1903 - The relation of science to common life.xml,the ivory tower,John Bright dubbed one of these institu- tions with eutting but deserved sarcasm as 'the home of dead languages and of un- dying prejudices. '
1903 - The relation of science to common life.xml,Science as 'She',"Science knows no such distinctions, and refuses to reeognize them. She writes deeply on the warp and woof of human and of all organie existenee the law that utility conserves, strengthens and continues life, that disuse weeds out and destroys."
1903 - The relation of science to common life.xml,utilitarian culture,"I glory then in the utilitarian, which in the recently gone century has stirred our common human life to titanic action in every field, has revivified and advaneed true edueation, has sown broadeast eolleges and universities, and has sent forth from these enthusiastie disciples aglow with the spirit of researeh and of experiment."
1903 - The relation of science to common life.xml,the bontanical eye,When one looks with the botanieal eye
1903 - The relation of science to common life.xml,big scientist,"We know that Darwin was laying the foundations of those prineiples that^have rqevo- lutionized all thouglit, and that he was paving the way for the economic death of this speculating friend, who biologically is a human parasite."
1903 - The relation of science to common life.xml,ancient Greeks and Romans,"Says Whewell in the leetur.e already referred to: ""You will not be sur- prised to be told that our modern edueation has derived something from the antient Greek edutation, betause you know that our modern scienee has derived muth fr.om the aneient Greek seienee. You know that our seienee-in the ordinary sense of the term -has derived little from the aneient Romans. * * * But if we take the term scienee in a somewhat 'wide' acceptation, we shall derive from the Roman history not a negative but a positive esemplifieation of our proposition."
1903 - The relation of science to common life.xml,definition of Science,"The term science may be extended so widely as to allow us to speak of the seienee of law meaning the doetrine of r.ights and obligations,"
1903 - The relation of science to common life.xml,ancient Greeks and Romans,"For in that wider sense there ts a seienee of which Rome was the mother, as Greeee was of geometry and mathematies. The term science may be extended so widely as to allow us to speak of the seienee of law meaning the doetrine of r.ights and obligations, in its most definite and yet most Gomprehensive form; in short the seienee of jurispru- denee. * * * And thus two of the great elements of a thorough intelleetual culture- mathematies and jurisprudenee are an inheritanee whith we derive from ages long gone by; from the two great nations of antiquity. """
1903 - The relation of science to common life.xml,public vs. professional,"So far Whewell , who in attempting to elevate Roman law to the dignity of a SGi- enee forgot that muGh of it was unseien- tifie to the last degree, and tended to pro- duee, not organie national equilibrium, but to set the patricians against the plebeians, and both against the bondmen, who often showed finer qualities than either. Little wonder is it that Rome fell, unsaved by her laws."
1903 - The relation of science to common life.xml,big scientist,Whewell
1903 - The relation of science to common life.xml,big scientist,Huxley
1903 - The relation of science to common life.xml,man seizing; natural laws as feminine,but has trained him to appreeiate and to seize upon the rewards whiGh nature seat- ters with as free a hand as her penalties .
1903 - The relation of science to common life.xml,allegory of liberal education,"The object of what we commonly eall education-that education in which man intervenes and whith I shall distinguish as artifitial eduea- tion is.to make good defects in nature's methods, to prepare the child to reeeive nature's edueation. * * * In short all ar- tifieial edutation ought to be an antitipa- tion of natural edueation. And a liberal edueation is an artifieial edueation whiGh has not only prepared a man to eseape the great evils of disobedienee to natural laws, but has trained him to appreeiate and to seize upon the rewards whiGh nature seat- ters with as free a hand as her penalties"
1903 - The relation of science to common life.xml,mascuinization of education,"In other words to make eaeh man who leaves its por.tals most highly qualified for useful, intelleetual, manly life"
1903 - The relation of science to common life.xml,lack of application,"To pursue Huxley's reasoning to its ulti- mate limit, advaneed teaGhing of all the laws of nature is the highest funetion of the university in relation to our Gommon life. In other words to make eaeh man who leaves its por.tals most highly qualified for useful, intelleetual, manly life ."
1903 - The relation of science to common life.xml,aka economic/resource privelege?,"Therefore, every upright pursuit in life whiGh man enters on should have the high- est printiples and practice governing it represented and taught in our universities, by the best men in the most perfectly equipped manner."
1903 - The relation of science to common life.xml,novel,'Sartor Resartus
1903 - The relation of science to common life.xml,writer,Car- lyle
1903 - The relation of science to common life.xml,swept by 'emancipatory' fancies,Happily the twentieth eentury gives promise of emanei- pation alike from the marshal's sword and the dominie's rod.
1903 - The relation of science to common life.xml,allegories to knowledge,", Car- lyle rightly growled out as follows in his immortal 'Sartor Resartus ': ""The Hinter- sehlag professors knew syntax enough, and of the human soul this much: that it has a faculty ealled memory, and could be acted on through the museular integuments by applicance of birch rods. Alas ! so it is everywhere, so will it ever be, till an archz- tect is hired, and on all hands fitly en- touraged; till communities and individuals discover, not without surprise, that fash- ioning the souls of a generation by knowl- edge ean rank oh a level with blowing their bodies to pieees by gunpowder; that with generals and field-marshals for killing, there should be world-honored dignitaries, and, were it possible, true Gkod-ordained priests, for teaGhing. But as yet, though the soldier wears openly and even parades his butehering tool, nowhere, far as I have travelled, did the sehoolmaster make show of his instrueting tool; nay, were he to walk abroad with bireh girt on thigh, as if he therefrom expeeted honor, would there not, among the idler elass, perhaps a cer- tain levity be exGited ? """
1905 - SOME PH.D. STATISTICS.xml,title,> DC:TITLE Some Ph.D. Statistics gate.SourceURL file:/Users/anastasiabernat/Desktop/group_corpus/1905%20-%20SOME%20PH.D.%20STATISTICS.pdf MimeType application/pdf TIKA_DC:TITLE Some Ph.D. Statistics Some Ph.D. Statistics
1905 - SOME PH.D. STATISTICS.xml,author,Rudolf Tombo
1905 - SOME PH.D. STATISTICS.xml,publisher,American Association for the Advancement of Science
1905 - SOME PH.D. STATISTICS.xml,journal,SCIENCE
1905 - SOME PH.D. STATISTICS.xml,counts,"There has been a noticeable change during the past decade also in the percentage of degrees received from foreign universities, and while there has been no perceptible de- crease in the actual number of degrees taken abroad, there has been of course a consider- able increase in the number conferred by American universities. In 1884 only 28 Ph.D. degrees were granted on examination by Amer- ican universities; ten years later (in 1894) there were 233, and fifteen years later (in 1899) there were 325."
1905 - SOME PH.D. STATISTICS.xml,in-breeding,"Chicago, Columbia, Cornell, Harvard, Johns Hopkins, Pennsylvania and Yale are the uni- versities that are turning out the largest num- ber of doctors, and it may be of interest to know how these universities, as well as a num- ber of other representative institutions of higher learning, stand in the matter of 'in- breeding.'"
1905 - SOME PH.D. STATISTICS.xml,"""in the following figures""","In the following figures only in- structors of professorial rank, having a seat in one or another of the university faculties, are considered."
1905 - SOME PH.D. STATISTICS.xml,percent,"In only three institutions is the number-of degrees received from the home university larger than that received elsewhere, namely, in the case of Yale, where 46 of the 67 professors holding the Ph.D. degree, or 69 per cent., received it from Yale and 21 from other institutions; in the case of Johns Hop- kins, where 27 out of 41, or 66 per cent., re- ceived it from Johns Hopkins and 14 from elsewhere; and in the case of Pennsylvania, where 26 out of 45, or 58 per cent., received it from Pennsylvania and 19 from elsewhere."
1905 - SOME PH.D. STATISTICS.xml,percent,"the figures representing in each case the number and percentage of professors who received the de- gree from the home university: Cornell 32 out of 70, or 46 per cent.; Columbia 32 out of 73, or 44 per cent.; Michigan 10 out of 25, or 40 per cent.; Harvard 21 out of 55, or 38 per cent.; Princeton 12 out of 33, or 36 per cent.; Chicago 25 out of 86, or 29 per cent.; Wisconsin 13 out of 49, or 27 per cent.; California 4 out of 46, or 9 per cent."
1905 - SOME PH.D. STATISTICS.xml,rank and order,"The above figures also show that in the ac- tual number of doctorates held by members of the faculties the universities rank in the fol- lowing order: Chicago, Columbia, Cornell, Yale, Harvard, Wisconsin, California, Penn- sylvania, Johns Hopkins, Princeton and Mich- igan. Chicago also has the largest number of Ph.D.'s from elsewhere, followed by Cali- fornia, Columbia, Cornell, Wisconsin and Ilarvard."
1905 - SOME PH.D. STATISTICS.xml,counts,"Among foreign universi- ties, Leipzig has by far the largest representa- tion, having 37 doctors of philosophy on the faculties of the universities under discussion, as against 40 from Johns IHopkins."
1905 - SOME PH.D. STATISTICS.xml,interpretation,"The statistics prove that most of the uni- versities concerned attract to their faculties a considerable percentage of holders of Ph.D. degrees from other institutions, that Yale, Johns Hopkins and Pennsylvania are the chief exponents of 'inbreeding,' that the western universities, as might be supposed, draw the largest percentage of doctors from elsewhere, that Johns Hopkins has the largest Ph.D. representation of any American university, and Leipzig of any foreign university, on the faculties of the institutions under discussion."
1905 - SOME PH.D. STATISTICS.xml,state government,THAT rational views as to forestry are steadily growing in popular favor is shown by the increasing attention which is given the subject by state and local organizations. The recent appearance of the report of the Michigan Forestry Commission forcibly em- phasizes the changed attitude of the people with reference to the forests.
1905 - SOME PH.D. STATISTICS.xml,public conscience,"And now, alas, when it is too late to save even a remnant of the magnificent tree growth the public conscience has been awakened, and the enormity of the crime is beginning to be realized."
1905 - SOME PH.D. STATISTICS.xml,"counts, state governance, public conscience","The report enumerates the steps taken by the commission in the campaign of education which it has inaugurated, and includes the re- port of the warden of the state forest reserves (Professor Roth), followed by a collection of essays by a considerable number of public- spirited citizens, all tending to create an in- terest in the planting or conservation of forests."
1905 - SOME PH.D. STATISTICS.xml,photographs,"Pho- tographs make very real the story he so graph- ically tells. Yet other photographs give us a view of the more cheerful story which may be told in the future when the seedlings now springing up are allowed to grow into a new forest. If the fires are kept out these areas may again be covered with trees. To this end the commission is working, and in this laudable undertaking every scientific man in the country will wish them Godspeed."
1905 - SOME PH.D. STATISTICS.xml,illustrations and descriptions of instruments,"Professor Clement's book on 'Research Methods in Ecology.' An adequate review of this important contribution to modern botany will appear in due time, and it is only neces- sary to say now that it analyzes critically the problems which confront the practical ecol- ogist (theoretical ecologists appear to have no such difficulties), and discusses the methods of solution with great detail, in which many illustrations and descriptions of instruments are used."
1905 - SOME PH.D. STATISTICS.xml,"""cheap price of these reprints""","ORIGINAL DESCRIPTIONS OF SPECIES. A. A. HELLER, of Los Gatos, California, has undertaken the publication of a series of fascicles in which appear the original descrip- tions of all of the North American species of certain genera of plants. He has already is- sued such fascicles for Lupinus, Trifolium, Ribes, Castilleia and Artemisia, including descriptions of 464 species. Each species is given a separate sheet, and the sheets for each genus are enclosed in special manila paper covers. The cheap price of these reprints (about one cent each) places them within the reach of all botanists who are interested in this department of systematic botany."
1905 - SOME PH.D. STATISTICS.xml,photomicrograph plates,"NORTH AMERICAN RUSTS. PROFESSOR HOLWAY, of the University of Minnesota, has begun the publication of an important work on the rusts, entitled 'North American Uredineae,' of which Part 1 of Volume I. has just appeared. This part is a quarto pamphlet of 32 pages of text, accom- panied with ten photomicrograph plates of"
1925 - The Seasonal Differences of North and South Slopes in Controlling the Acitivities of the Columbian Ground Squirrel.xml,mean,mean temperature was I8 degrees F
1925 - The Seasonal Differences of North and South Slopes in Controlling the Acitivities of the Columbian Ground Squirrel.xml,Objective,"During the six seasons of investigation, notes were taken with special ref- erence to four points, namely: the difference in the time of coming from hibernation, the effect upon the rutting, the influence upon the time of ap- pearance of the young from their brood nests, and the time for returning to aestivation."
1935 - Studies in Nocturnal Ecology.xml,title,"> DC:TITLE Studies in Nocturnal Ecology, III. Recording Apparatus and Further Analysis of Activity Rhythm gate.SourceURL file:/Users/anastasiabernat/Desktop/group_corpus/1935%20-%20Studies%20in%20Nocturnal%20Ecology.pdf MimeType application/pdf TIKA_DC:TITLE Studies in Nocturnal Ecology, III. Recording Apparatus and Further Analysis of Activity Rhythm Studies in Nocturnal Ecology, III. Recording Apparatus and Further Analysis of ActivityRhythm"
1935 - Studies in Nocturnal Ecology.xml,published_year,1935
1935 - Studies in Nocturnal Ecology.xml,author,Orlando Park
1935 - Studies in Nocturnal Ecology.xml,neither figured nor fully explained; this is very interesting - it's an indication that controls and precise experiment measurement recordings are important to the field,"The first measurement of nocturnal activity by recording apparatus was by Johnson ('26). Relatively heavy animals were used, e.g., forest deer mice, which allowed a simple technique to be employed. This consisted in placing a mouse in a light-weight cage suspended by rubber bands. An indi- cator fastened to the cage traced the animal's movements on a record made by a paper disk turned by clock mechanism. Unfortunately the apparatus, though simple, was neither figured nor fully explained; neither was the tem- perature, which varied seven degrees, nor presumably the humidity, adequately controlled. The work was important, however, in that it recorded nocturnal activity, and gave an insight into the behavior of characteristic forest rodents."
1935 - Studies in Nocturnal Ecology.xml,Introduction; scientists are being cited in these opening sentences along with details of their experimental set-up (setting out the scope of the research question and how has been addressed),"Quite recently Davis ('32, '33) has reported an improved apparatus of the same general type for recording the activity of small mammals. Turning from mammals to the insects, the only other group of animals in which nocturnal activity has been measured by recording apparatus, significant work has been done by Lutz ('32a, b) on three species of Orthoptera."
1935 - Studies in Nocturnal Ecology.xml,"nor figured...nor fully described; again, scientist holds a frustration at the lack of experimental details, especially regarding the tools, apparatuses, or machines researchers used","The weight of an insect depressed a counter-balanced treadle, completing an elec- tric circuit through an electromagnet, which in turn moved an inked pen which registered the animal's movements upon a moving drum. Unhappily such an excellent piece of equipment was neither described nor figured in the text, nor were the experimental conditions of the cellar, in which the experi- ments were conducted, fully described. The work, however, is the best that has been done with recording apparatus in measuring nocturnal activity."
1935 - Studies in Nocturnal Ecology.xml,objectively; the first time I've seen objective/objectively show up in a paper and what makes this objective to the scientist is the use of a very well-recorded tool/apparatus ,"Four years ago the writer began construction of a recording apparatus' which would measure objectively the activity of small animals. The circular disk of a phonograph, having a diameter of eleven and three-quarter inches, or No. 10 aluminum pan-covers, were threaded at the exact center so that a brass screw, which was lathed to a blunt point, could be inserted from above and adjusted to any required length. This screw point was centered on a dish-shaped table made by cutting off the end of another brass screwv and 1 I am greatly indebted to F. B. Adamstone, G. Almy, and to F. E. Nelson for aid and criticism in constructing this apparatus."
1935 - Studies in Nocturnal Ecology.xml,"FIG. 1; ""modern"" approach to a figure legend - there's a title sentence, and labels that point to different aspects or panels of the figure.","FIG. 1. Recording Apparatus for Measurement of Nocturnal Activity. a. Transit plate with three leveling screws, four peripheral contacts, and central contact on which is balanced a circular disk. b. Method of balancing circular disk on central contact. c. Electric clock. d. Model T Ford ignition coil. e. Mercury cup contact for sweep- second clock hand. f. Shorting wire from Kymograph back to coil. g. Fuse wires h. Six volt storage battery (or transformer if using alternating current). i. Kymo- graph drum mounted on 24-hour Taylor clock-works."
1935 - Studies in Nocturnal Ecology.xml,sensitive to half a gram; mass measurements for the apparatus ,The plate when balanced could be deflected by a gentle breath and was sensitive to half a gram.
1935 - Studies in Nocturnal Ecology.xml,"for field...in the laboratory; this scientist is keenly aware and deciding about what materials, tools, or appartuses best fit this scientific concept of the ""field"" vs. the ""laboratory""",The use of the storage battery is especially desirable for field recording but in the laboratory a transformer was wired to the coil and alternating current used.
1935 - Studies in Nocturnal Ecology.xml,"between two and three seconds; range, time ",I found between two and three seconds to be a desirable contact.
1935 - Studies in Nocturnal Ecology.xml,"a continuous record is formed; the growing importance between reproduciblity, specificity, and continuous measuring thanks to machines/apparatuses","The other end of the primary circuit is always complete as a consequence of the loaded disk touching one, or two adjacent, peripheral contacts. Each minute the circuit is made, and the coil wires of the secondary circuit fire a spark of roughly a quarter to a third of all inch long. These sparking wires burn small dots into a strip of a(lling machine paper which is fastened around a kymograph drum driven 1w a 24 hour Taylor clock-works. Thus a continuous record is formed, each minute giving the position of the contained animal on the disk, and hence its inactiv- ity, and duration and direction of its active periods."
1935 - Studies in Nocturnal Ecology.xml,control; stressing laboratory conditions,"Obviously, in analysis of activity rhythm as complete a control of the immediate environment as possible is necessary to a proper evaluation of the data obtained."
1935 - Studies in Nocturnal Ecology.xml,held practically constant; the notion/concept/idea of a control is being defined here,"This cabinet has been previously described (Park and Keller, '32), but it may be said here that the air tem- l)erature, relative humidity and rate of evaporation within the cabinet were held practically constant, air movements were absent, and when closed the interior was in complete darkness."
1935 - Studies in Nocturnal Ecology.xml, utilized; there is a need for flexiblity in the apparatus and resilience in order to be a strong functioning and consistent measurement-taker (this builds on our ideas of biases and a control),"In using this chamber with a saturated atmos- phere it became necessary to avoid rusting. To this end brass screw contacts were utilized and the transite plate did not warp, an event which would throw off the distance between the plate and the peripheral contacts."
