"","","group0.1","reader"
"44","ESTIMATES OF MOVEMENT AND SITE FIDELITY USING MARK RESIGHT DATA OF WINTERING CANADA GEESE","top",""
"45","IMPORTANCE OF SPATIAL AND TEMPORAL DYNAMICS IN SPECIES REGIONAL ABUNDANCE AND DISTRIBUTION","top",""
"46","Microcosm experiments have limited relevance for community and ecosystem ecology","top",""
"47","PATCH FORMATION AND MAINTENANCE IN AN OLD-GROWTH HEMLOCK-HARDWOOD FOREST","top",""
"48","EXPERIMENTS ON MECHANISMS OF TREE ESTABLISHMENT IN OLD-FIELD SUCCESSION - SEEDLING EMERGENCE","top",""
"49","1920","bottom",""
"50","An ecological study of the polypody fern Polypodium polypodioides as an epiphyte in Mississippi","bottom",""
"51","The ecology of parasites","bottom",""
"52","The distribution of the Pale Western Cutworm, Porosagrotis orthogonia Morr - A study in physical ecology","bottom",""
"53","Ecological aspects of a pathological problem - (Western yellow blight of tomatoes)","bottom",""
"54","The ecological relationships of the dragonflies of the Bass islands of Lake Erie","bottom",""
"55","1930","bottom",""
"56","Studies on the ecology of the Orthoptera","bottom",""
"57","Ecological observations upon the enemies of Cecropia with particular reference to its hymenopterous parasites","bottom",""
"58","Studies on the ecology of roots","bottom",""
"59","Ecological succession in the Mytilus califorarianus habitat as observed in Monterey Bay California","bottom",""
"60","What is ecology and what good is it?","bottom",""
"61","1940","bottom",""
"62","Ecology of some copepods inhabiting intertidal beaches near Woods Hole, Massachusetts","bottom",""
"63","An ecological study of winter dens, with special reference to the eastern skunk","bottom",""
"64","The wood rat as an ecological factor in southern California watersheds","bottom",""
"65","Observations on the ecology and natural history of Anura IV The ecological distribution of toads in Oklahoma","bottom",""
"66","Atmospheric moisture in relation to ecological problems","bottom",""
"67","1950","bottom",""
"68","NOTES ON THE ECOLOGY OF THE MIDGE FAUNA (DIPTERA, TENDIPEDIDAE) OF HUNT CREEK, MONTMORENCY COUNTY, MICHIGAN","bottom",""
"69","ECOLOGICAL ASPECTS OF DISPERSAL OF THE SNAIL CAMPELOMA-DECISUM","bottom",""
"70","ECOLOGICAL STUDIES OF BREEDING BIRD POPULATIONS IN NORTHERN MAINE","bottom",""
"71","TRICKLING FILTER ECOLOGY","bottom",""
"72","THE ECOLOGY OF SERPENTINE SOILS .2. FACTORS AFFECTING PLANT GROWTH ON SERPENTINE SOILS","bottom",""
"73","1960","bottom",""
"74","ECOLOGICAL RESPONSE OF SAGEBRUSH-GRASS RANGE IN CENTRAL OREGON TO MECHANICAL AND CHEMICAL REMOVAL OF ARTEMISIA","bottom",""
"75","POPULATION ECOLOGY OF DESERT RODENT COMMUNITIES - HABITATS AND ENVIRONMENTAL COMPLEXITY","bottom",""
"76","LEVEL-OF-INTEGRATION CONCEPT AND ECOLOGY","bottom",""
"77","ECOLOGY OF ZOOPLANKTON BENTHOS AND FISHES IN COLUMBIA RIVER ESTUARY","bottom",""
"78","THE ECOLOGICAL SIGNIFICANCE OF CLADOCERAN REMAINS IN LAKE-SEDIMENTS","bottom",""
"79","1970","bottom",""
"80","CHYDORID (CLADOCERA) ECOLOGY - SEASONAL PATTERNS AND ABUNDANCE OF POPULATIONS IN ELK LAKE, MINNESOTA","bottom",""
"81","ECOLOGY OF SUBTIDAL ALGAE ON SEASONALLY DEVASTATED COBBLE SUBSTRATES OFF GHANA","bottom",""
"82","EXPERIMENTAL ECOLOGICAL GENETICS IN PLANTAGO .2. LEAD TOLERANCE IN PLANTAGO-LANCEOLATA AND CYNODON-DACTYLON FROM A ROADSIDE","bottom",""
"83","METRONOME TIMING IN BEHAVIORAL ECOLOGY STUDIES","bottom",""
"84","ECOLOGY, FLOWERING PHENOLOGY, AND HUMMINGBIRD POLLINATION OF SOME COSTA RICAN HELICONIA SPECIES","bottom",""
"85","1980","bottom",""
"86","THE NATURE AND ECOLOGICAL SIGNIFICANCE OF METABOLIC CHANGES DURING THE LIFE-HISTORY OF COPEPODS","bottom",""
"87","THE SEARCH FOR RESOURCES BY CABBAGE BUTTERFLIES (PIERIS-RAPAE) - ECOLOGICAL CONSEQUENCES AND ADAPTIVE SIGNIFICANCE OF MARKOVIAN MOVEMENTS IN A PATCHY ENVIRONMENT","bottom",""
"88","EPHEMERELLA MAYFLIES OF WHITE CLAY CREEK - BIOENERGETIC AND ECOLOGICAL RELATIONSHIPS AMONG 6 COEXISTING SPECIES","bottom",""
"89","ECOLOGICAL SIGNIFICANCE OF FLIGHT ACTIVITY IN COLIAS BUTTERFLIES - IMPLICATIONS FOR REPRODUCTIVE STRATEGY AND POPULATION-STRUCTURE","bottom",""
"90","ECOLOGICAL-STUDIES OF NEOTROPICAL ANT GARDENS","bottom",""
"91","1990","bottom",""
"92","Demographic responses to habitat fragmentation: Experimental tests at the landscape and patch scale","bottom",""
"93","COMPLEX INTERACTIONS BETWEEN DISPERSAL AND DYNAMICS - LESSONS FROM COUPLED LOGISTIC EQUATIONS","bottom",""
"94","Continental scale ecology and neotropical migratory birds: How to detect declines amid the noise","bottom",""
"95","Long-term patterns of mast fruiting in Fraxinus excelsior","bottom",""
"96","Ecological explanation through functional morphology: The feeding biology of sunfishes","bottom",""
